commit,package,additions,deletions,LOC,change
e5717ac261edb99e535bd89fb416c81f51e3f68b,org.apache.tika.example,78,0,268,78
b15e67f1febd7cd8755ab0eea2127d112413e0f3,org.apache.tika.example,130,0,398,130
25dc052fec6520a4b15b502c6c23c7f337cd0518,org.apache.tika.example,79,3,474,76
295658d8e49f0ea04003c2c3d3069aa969141e53,org.apache.tika.example,52,2,524,50
85b96e00105772d34e76897ed5c5437945429ea3,org.apache.tika.example,295,0,819,295
d26f2a3aeee312941c259b2779fce8bced5b4f3e,org.apache.tika.example,0,1,818,-1
fdd49692c545393e2f7c4d008d93c45e044be443,org.apache.tika.example,96,0,914,96
a8fee2dabb161b2a1161cd5569d0453a02ef501f,org.apache.tika.example,34,0,948,34
5976d3198e886ccc125cd1f73d33600d9eeb4829,org.apache.tika.example,341,12,1277,329
b871795c3d28d713290138a8c565fc203d0881f2,org.apache.tika.example,89,2,1364,87
892f3a8b1e44efdf86ec9aed0887de7afcbf01ea,org.apache.tika.example,21,18,1367,3
6778d5d07bfcf5d1e0f2ed4a84d9097010f9a2b0,org.apache.tika.example,191,8,1550,183
f54cb9e354b71e720602acfa0b4da8f100b400c2,org.apache.tika.example,2369,0,3919,2369
88f140f5cfd63202a48bab7a43e2c6cae05ea8da,org.apache.tika.example,1520,1520,3919,0
2764fb8606964c3350c781ecf5df4042706b4099,org.apache.tika.example,1,1,3919,0
165eebcb5bcc2f6b5768bcdec5ce6496c3ca5093,org.apache.tika.example,194,0,4113,194
4dcfb74cf702aa88a94f58ca79ede313dfb45852,org.apache.tika.example,20,20,4113,0
532de24487a647ba831b73a1a53e230e4052bd55,org.apache.tika.example,29,31,4111,-2
650d01c48d420df99b5d516dcf9643a8632a32fc,org.apache.tika.example,40,12,4139,28
d5796b9151def0e762eac7f66f9243f1a27958c6,org.apache.tika.example,16,11,4144,5
f67c93c819533917e47a488c64b5865a3979f8c4,org.apache.tika.example,1,1,4144,0
7f5ef182628f22885863a33f5372c514c82e8f11,org.apache.tika.example,6,10,4140,-4
4e7851d2767ccba289a95c0f981e19b0edc68671,org.apache.tika.example,7,6,4141,1
7695a018507eb6ba7e9fd66d22b9f95ff7bb664d,org.apache.tika.example,30,22,4149,8
8938fdfa93f8c0647e547e8a04a187fbb5a32603,org.apache.tika.example,29,100,4078,-71
03af7fb6a1d1477464024497748ec48cf0872382,org.apache.tika.example,1470,1481,4067,-11
dba2033b703b4fd4eee0f6831c29b4323b1180dd,org.apache.tika.example,36,21,4082,15
b3665cde6c397ce3968374607bc07a54bacf4b51,org.apache.tika.example,91,0,4173,91
